locality_name,gazetted_locality_name,vicnames_id,ufi,pfi,has_public_parking_data,parking_entity_count,source_owner_count,source_dataset_count,source_owners,source_datasets
BOX HILL SOUTH,BOX HILL SOUTH,100470,746966705,205410191,False,0,0,0,,
BOXWOOD,BOXWOOD,100472,815858131,205409316,False,0,0,0,,
BRADFORD,BRADFORD,100473,824742317,205409185,False,0,0,0,,
BRADVALE,BRADVALE,100474,810305629,205408063,False,0,0,0,,
BRAESIDE,BRAESIDE,100475,761136268,205409938,False,0,0,0,,
BRANDY CREEK,BRANDY CREEK,100476,852450340,205410063,False,0,0,0,,
BRANXHOLME,BRANXHOLME,100478,795436753,205407519,False,0,0,0,,
BRAVINGTON,BRAVINGTON,100479,808851379,205410369,False,0,0,0,,
BRAYBROOK,BRAYBROOK,100480,857371261,205410123,False,0,0,0,,
BREAKAWAY CREEK,BREAKAWAY CREEK,100481,798567209,205408505,False,0,0,0,,
BREAKWATER,BREAKWATER,100483,728238643,205410218,False,0,0,0,,
BREAMLEA,BREAMLEA,100484,796758822,205410240,False,0,0,0,,
BRENANAH,BRENANAH,100486,835229231,205408137,False,0,0,0,,
BREWSTER,BREWSTER,100487,835229279,205408651,False,0,0,0,,
BRIAGOLONG,BRIAGOLONG,100488,468966529,205407697,False,0,0,0,,
BRIAR HILL,BRIAR HILL,100489,875319015,205410339,False,0,0,0,,
BRIDGE CREEK,BRIDGE CREEK,100491,541553485,205407868,False,0,0,0,,
BRIDGEWATER,BRIDGEWATER,100492,835229236,205407905,False,0,0,0,,
BRIDGEWATER NORTH,BRIDGEWATER NORTH,100493,468965380,205408279,False,0,0,0,,
BRIDGEWATER ON LODDON,BRIDGEWATER ON LODDON,100494,835229238,205410275,False,0,0,0,,
BRIGHT,BRIGHT,100495,847360193,205407847,False,0,0,0,,
BRIGHTON,BRIGHTON,100496,830094933,205409918,False,0,0,0,,
BRIGHTON EAST,BRIGHTON EAST,100497,739400818,205410043,False,0,0,0,,
BRIM,BRIM,100499,509875196,205407546,False,0,0,0,,
BRIMBOAL,BRIMBOAL,100500,795436727,205409275,False,0,0,0,,
BRIMIN,BRIMIN,100501,468965000,205408519,False,0,0,0,,
BRIMPAEN,BRIMPAEN,100502,840422613,205407557,False,0,0,0,,
BRINGALBERT,BRINGALBERT,100504,468965603,205407997,False,0,0,0,,
